Lead_ID,Client_Name,Client_Company,Industry,Region,Product_Interest,Lead_Source,Touchpoint_Sequence,Converted
L010023,Laura Garcia,Samsung Electronics,,North America,,Sales Outreach,"['IMS_Badge_Scan', 'PathWave_Trial_Request', 'IMS_Badge_Scan', 'No_Conversion']",0
L010024,Sarah Johnson,Infineon GmbH,Telecom,Europe,,Event,"['DesignCon_Booth_Visit', 'Oscilloscope_Selector_Tool', 'MQL', 'Opportunity', 'Lab_Integration_Discussion', 'Technical_Demo', 'Keysight_University_Course', 'No_Conversion']",0
L010025,Sofia Ito,Bosch,Automotive,,,Event,"['DesignCon_Booth_Visit', 'IMS_Badge_Scan', 'Opportunity', 'Customer']",1
L010026,Laura Ito,,Telecom,,Automotive Ethernet,Sales Outreach,"['IMS_Badge_Scan', 'Whitepaper_Download_5G_Test', 'Oscilloscope_Selector_Tool', 'AutoSens_Tech_Talk', 'Application_Engineer_Call', 'DesignCon_Booth_Visit', 'SQL', 'Oscilloscope_Selector_Tool', 'Technical_Demo', 'Customer']",1
L010027,Maria Williams,Samsu_Tech,,APAC,,Event,"['SQL', 'Lab_Integration_Discussion', 'LinkedIn_Ad_Click', 'Loaner_Unit_Evaluation', 'PathWave_Trial_Request', 'SQL', 'Application_Engineer_Call', 'No_Conversion']",0
L010028,Chen Johnson,Sony,Automotive,North America,5G Testbeds,Webinar,"['Lab_Integration_Discussion', 'Application_Engineer_Call', 'Keysight_University_Course', 'Loaner_Unit_Evaluation', 'MQL', 'No_Conversion']",0
L010029,Sarah Martinez,Infineon GmbH,Telecom,Europe,,Email Campaign,"['PathWave_Trial_Request', 'Lab_Integration_Discussion', 'Keysight_University_Course', 'Whitepaper_Download_5G_Test', 'IMS_Badge_Scan', 'SQL', 'Customer']",1
L010030,Maria Singh,Tesla_Tech,Electronics,Europe,,Webinar,['No_Conversion'],0
L010031,Ahmed Johnson,Samsung Electronics,Electronics,Europe,Oscilloscopes,Sales Outreach,"['IMS_Badge_Scan', 'Keysight_University_Course', 'Customer']",1
L010032,,Qualcomm,,LATAM,,Sales Outreach,"['IMS_Badge_Scan', 'Whitepaper_Download_5G_Test', 'Lab_Integration_Discussion', 'No_Conversion']",0
L010033,Daniel Lee,Broadcom GmbH,,APAC,PathWave Software,Event,['Customer'],1
L010034,Ahmed Martinez,Meta Connectivity Labs GmbH,Semiconductor,,Automotive Ethernet,Website,"['Keysight_University_Course', 'Keysight_Workshop_RF_Testing', 'No_Conversion']",0
L010035,Laura Tanaka,Tesla_Tech,,,,Sales Outreach,"['Loaner_Unit_Evaluation', 'LinkedIn_Ad_Click', 'Technical_Demo', 'SQL', 'LinkedIn_Ad_Click', 'Loaner_Unit_Evaluation', 'Lab_Integration_Discussion', 'Lab_Integration_Discussion', 'Customer']",1
L010036,Laura Tanaka,Broad_Tech,Semiconductor,LATAM,PathWave Software,Webinar,"['MQL', 'Application_Engineer_Call', 'No_Conversion']",0
L010037,Ravi Lee,,Automotive,APAC,Automotive Ethernet,,"['Lab_Integration_Discussion', 'DesignCon_Booth_Visit', 'IMS_Badge_Scan', 'Loaner_Unit_Evaluation', 'Keysight_University_Course', 'Customer']",1
L010038,Priya Lee,Tesla Energy GmbH,,,Automotive Ethernet,Website,['Customer'],1
L010039,Sarah Garcia,,Aerospace,APAC,PathWave Software,,"['DesignCon_Booth_Visit', 'Application_Engineer_Call', 'SQL', 'AutoSens_Tech_Talk', 'Oscilloscope_Selector_Tool', 'Customer']",1
L010040,Laura Garcia,,,APAC,,Event,"['PathWave_Trial_Request', 'SQL', 'LinkedIn_Ad_Click', 'SQL', 'Customer']",1
L010041,,Broad_Tech,Semiconductor,Europe,Automotive Ethernet,LinkedIn,"['PathWave_Trial_Request', 'No_Conversion']",0
L010042,Michael Garcia,Sony_Tech,,LATAM,Automotive Ethernet,LinkedIn,"['MQL', 'Application_Engineer_Call', 'Oscilloscope_Selector_Tool', 'Application_Engineer_Call', 'No_Conversion']",0
L010043,Ravi Garcia,NXP Semiconductors,Semiconductor,Europe,Automotive Ethernet,Webinar,"['Keysight_University_Course', 'Keysight_Workshop_RF_Testing', 'Whitepaper_Download_5G_Test', 'SQL', 'Keysight_Workshop_RF_Testing', 'MQL', 'Customer']",1
L010044,Maria Patel,NXPSe_Tech,Aerospace,Europe,,,"['Keysight_University_Course', 'AutoSens_Tech_Talk', 'Lab_Integration_Discussion', 'No_Conversion']",0
L010045,Priya Tanaka,NXPSe_Tech,Electronics,APAC,,Email Campaign,"['MQL', 'Lab_Integration_Discussion', 'AutoSens_Tech_Talk', 'Keysight_University_Course', 'Customer']",1
L010046,Sofia Lee,Broad_Tech,Automotive,,5G Testbeds,Website,"['LinkedIn_Ad_Click', 'PathWave_Trial_Request', 'Oscilloscope_Selector_Tool', 'Application_Engineer_Call', 'LinkedIn_Ad_Click', 'Keysight_University_Course', 'PathWave_Trial_Request', 'Lab_Integration_Discussion', 'Lab_Integration_Discussion', 'Customer']",1
L010047,Hiroshi Johnson,Broadcom,Electronics,Europe,Automotive Ethernet,Webinar,"['Opportunity', 'Loaner_Unit_Evaluation', 'LinkedIn_Ad_Click', 'LinkedIn_Ad_Click', 'IMS_Badge_Scan', 'Opportunity', 'No_Conversion']",0
L010048,Chen Ito,NXP Semiconductors,Telecom,APAC,Automotive Ethernet,Webinar,['No_Conversion'],0
L010049,Chen Singh,Raytheon GmbH,Semiconductor,North America,,Event,"['Technical_Demo', 'Technical_Demo', 'PathWave_Trial_Request', 'Lab_Integration_Discussion', 'Whitepaper_Download_5G_Test', 'No_Conversion']",0
L010050,Ravi Garcia,Samsung Electronics,,North America,,Event,"['Oscilloscope_Selector_Tool', 'Application_Engineer_Call', 'MQL', 'PathWave_Trial_Request', 'Application_Engineer_Call', 'Application_Engineer_Call', 'Website_Product_Page', 'AutoSens_Tech_Talk', 'Technical_Demo', 'No_Conversion']",0
L010051,Ahmed Martinez,MetaC_Tech,Aerospace,North America,,Email Campaign,"['Keysight_University_Course', 'No_Conversion']",0
L010052,Sofia Anders,,Telecom,,,Sales Outreach,"['Opportunity', 'Lab_Integration_Discussion', 'Opportunity', 'AutoSens_Tech_Talk', 'Customer']",1
L010053,Sofia Singh,Tesla_Tech,,North America,,LinkedIn,"['Lab_Integration_Discussion', 'DesignCon_Booth_Visit', 'Lab_Integration_Discussion', 'Website_Product_Page', 'Keysight_Workshop_RF_Testing', 'AutoSens_Tech_Talk', 'No_Conversion']",0
L010054,Sofia Johnson,,Aerospace,North America,PathWave Software,Website,"['LinkedIn_Ad_Click', 'Opportunity', 'DesignCon_Booth_Visit', 'LinkedIn_Ad_Click', 'Lab_Integration_Discussion', 'Loaner_Unit_Evaluation', 'Oscilloscope_Selector_Tool', 'No_Conversion']",0
L010055,Ravi Garcia,Infineon GmbH,Automotive,North America,Automotive Ethernet,,"['Technical_Demo', 'PathWave_Trial_Request', 'DesignCon_Booth_Visit', 'PathWave_Trial_Request', 'Loaner_Unit_Evaluation', 'No_Conversion']",0
L010056,Ahmed Khan,Bosch_Tech,Telecom,Europe,5G Testbeds,,"['Application_Engineer_Call', 'MQL', 'PathWave_Trial_Request', 'Whitepaper_Download_5G_Test', 'LinkedIn_Ad_Click', 'Keysight_Workshop_RF_Testing', 'No_Conversion']",0
L010057,Priya Anders,Tesla_Tech,,APAC,,Email Campaign,"['Technical_Demo', 'Oscilloscope_Selector_Tool', 'No_Conversion']",0
L010058,Chen Khan,,,APAC,PathWave Software,,"['Keysight_Workshop_RF_Testing', 'LinkedIn_Ad_Click', 'Customer']",1
L010059,Priya Ito,NXPSe_Tech,Semiconductor,LATAM,,Event,['No_Conversion'],0
L010060,,Tesla Energy,,Europe,,Event,"['MQL', 'Whitepaper_Download_5G_Test', 'Lab_Integration_Discussion', 'AutoSens_Tech_Talk', 'Customer']",1
L010061,Sofia Anders,NXP Semiconductors GmbH,Aerospace,APAC,5G Testbeds,,"['Keysight_Workshop_RF_Testing', 'Oscilloscope_Selector_Tool', 'AutoSens_Tech_Talk', 'Lab_Integration_Discussion', 'No_Conversion']",0
L010062,Daniel Ito,Qualc_Tech,Semiconductor,LATAM,PathWave Software,Event,"['Lab_Integration_Discussion', 'PathWave_Trial_Request', 'SQL', 'PathWave_Trial_Request', 'Lab_Integration_Discussion', 'Whitepaper_Download_5G_Test', 'AutoSens_Tech_Talk', 'Oscilloscope_Selector_Tool', 'Customer']",1
L010063,Michael Khan,Tesla_Tech,Electronics,,PathWave Software,Email Campaign,"['Website_Product_Page', 'IMS_Badge_Scan', 'MQL', 'IMS_Badge_Scan', 'Lab_Integration_Discussion', 'DesignCon_Booth_Visit', 'Customer']",1
L010064,Michael Singh,Bosch GmbH,,APAC,PathWave Software,LinkedIn,"['Technical_Demo', 'Keysight_University_Course', 'Opportunity', 'Keysight_University_Course', 'MQL', 'Website_Product_Page', 'No_Conversion']",0
L010065,,Sony_Tech,Electronics,,,,['No_Conversion'],0
L010066,Priya Garcia,Broadcom,Telecom,,PathWave Software,LinkedIn,"['Keysight_University_Course', 'SQL', 'Opportunity', 'Website_Product_Page', 'No_Conversion']",0
L010067,,Samsu_Tech,Automotive,Europe,Oscilloscopes,Event,"['Whitepaper_Download_5G_Test', 'Oscilloscope_Selector_Tool', 'No_Conversion']",0
L010068,Ahmed Williams,MetaC_Tech,Telecom,LATAM,,Event,"['Oscilloscope_Selector_Tool', 'SQL', 'Technical_Demo', 'SQL', 'Customer']",1
L010069,Ravi Ito,,Semiconductor,North America,PathWave Software,Event,['No_Conversion'],0
L010070,Kenji Williams,,,APAC,5G Testbeds,Webinar,"['Whitepaper_Download_5G_Test', 'Opportunity', 'Whitepaper_Download_5G_Test', 'Loaner_Unit_Evaluation', 'Technical_Demo', 'Customer']",1
L010071,Priya Khan,NXP Semiconductors,Electronics,APAC,Oscilloscopes,Webinar,"['Lab_Integration_Discussion', 'Technical_Demo', 'Keysight_Workshop_RF_Testing', 'Keysight_Workshop_RF_Testing', 'IMS_Badge_Scan', 'No_Conversion']",0
L010072,Ahmed Johnson,Broadcom GmbH,,LATAM,Oscilloscopes,,"['Oscilloscope_Selector_Tool', 'Opportunity', 'IMS_Badge_Scan', 'SQL', 'SQL', 'IMS_Badge_Scan', 'PathWave_Trial_Request', 'Application_Engineer_Call', 'AutoSens_Tech_Talk', 'No_Conversion']",0
L010073,,Sony GmbH,,APAC,PathWave Software,Website,"['LinkedIn_Ad_Click', 'Technical_Demo', 'MQL', 'IMS_Badge_Scan', 'Whitepaper_Download_5G_Test', 'LinkedIn_Ad_Click', 'Customer']",1
L010074,Daniel Martinez,Raytheon GmbH,,Europe,,Email Campaign,"['SQL', 'Technical_Demo', 'Application_Engineer_Call', 'Application_Engineer_Call', 'DesignCon_Booth_Visit', 'Whitepaper_Download_5G_Test', 'Customer']",1
L010075,Michael Chen,,Semiconductor,LATAM,,,"['IMS_Badge_Scan', 'LinkedIn_Ad_Click', 'Keysight_University_Course', 'Oscilloscope_Selector_Tool', 'Oscilloscope_Selector_Tool', 'Customer']",1
L010076,Michael Anders,Tesla_Tech,Aerospace,LATAM,,Event,"['PathWave_Trial_Request', 'Lab_Integration_Discussion', 'Technical_Demo', 'Loaner_Unit_Evaluation', 'IMS_Badge_Scan', 'AutoSens_Tech_Talk', 'PathWave_Trial_Request', 'Application_Engineer_Call', 'Keysight_Workshop_RF_Testing', 'MQL', 'No_Conversion']",0
L010077,Chen Williams,Bosch GmbH,,Europe,,Event,"['Oscilloscope_Selector_Tool', 'Loaner_Unit_Evaluation', 'LinkedIn_Ad_Click', 'PathWave_Trial_Request', 'No_Conversion']",0
L010078,Kenji Tanaka,Broad_Tech,Aerospace,APAC,,LinkedIn,"['Website_Product_Page', 'SQL', 'AutoSens_Tech_Talk', 'DesignCon_Booth_Visit', 'Keysight_Workshop_RF_Testing', 'Website_Product_Page', 'AutoSens_Tech_Talk', 'Customer']",1
L010079,Laura Khan,Tesla_Tech,Semiconductor,APAC,,Event,"['Keysight_Workshop_RF_Testing', 'Application_Engineer_Call', 'PathWave_Trial_Request', 'AutoSens_Tech_Talk', 'Oscilloscope_Selector_Tool', 'IMS_Badge_Scan', 'Keysight_University_Course', 'AutoSens_Tech_Talk', 'Lab_Integration_Discussion', 'Application_Engineer_Call', 'Customer']",1
L010080,Ahmed Ito,Bosch_Tech,,North America,,Webinar,"['Website_Product_Page', 'IMS_Badge_Scan', 'AutoSens_Tech_Talk', 'Loaner_Unit_Evaluation', 'DesignCon_Booth_Visit', 'Loaner_Unit_Evaluation', 'Loaner_Unit_Evaluation', 'Customer']",1
L010081,Laura Garcia,Broadcom,Semiconductor,,Automotive Ethernet,Sales Outreach,"['Application_Engineer_Call', 'Application_Engineer_Call', 'Website_Product_Page', 'Technical_Demo', 'DesignCon_Booth_Visit', 'Keysight_Workshop_RF_Testing', 'Customer']",1
L010082,Sarah Garcia,,Semiconductor,LATAM,Oscilloscopes,Webinar,"['AutoSens_Tech_Talk', 'Keysight_Workshop_RF_Testing', 'Keysight_Workshop_RF_Testing', 'Website_Product_Page', 'DesignCon_Booth_Visit', 'Technical_Demo', 'Keysight_University_Course', 'No_Conversion']",0
L010083,Hiroshi Ito,Qualcomm GmbH,Telecom,,Oscilloscopes,Website,['No_Conversion'],0
L010084,Michael Chen,NXP Semiconductors,Semiconductor,Europe,PathWave Software,Website,"['Lab_Integration_Discussion', 'No_Conversion']",0
L010085,Priya Lee,Tesla Energy,Automotive,LATAM,5G Testbeds,Website,"['Whitepaper_Download_5G_Test', 'Lab_Integration_Discussion', 'Keysight_University_Course', 'Keysight_University_Course', 'Technical_Demo', 'SQL', 'Customer']",1
L010086,Hiroshi Ito,Infin_Tech,Semiconductor,Europe,,Sales Outreach,"['IMS_Badge_Scan', 'LinkedIn_Ad_Click', 'Technical_Demo', 'No_Conversion']",0
L010087,Sarah Johnson,Meta Connectivity Labs GmbH,Telecom,LATAM,Oscilloscopes,Email Campaign,"['Whitepaper_Download_5G_Test', 'Application_Engineer_Call', 'IMS_Badge_Scan', 'MQL', 'Loaner_Unit_Evaluation', 'Loaner_Unit_Evaluation', 'Customer']",1
L010088,Sofia Chen,Qualcomm GmbH,Aerospace,APAC,Automotive Ethernet,Email Campaign,"['AutoSens_Tech_Talk', 'Application_Engineer_Call', 'SQL', 'Website_Product_Page', 'Opportunity', 'Website_Product_Page', 'Technical_Demo', 'Opportunity', 'No_Conversion']",0
L010089,Laura Garcia,Sony GmbH,Aerospace,LATAM,,Website,"['Lab_Integration_Discussion', 'Technical_Demo', 'DesignCon_Booth_Visit', 'Website_Product_Page', 'No_Conversion']",0
L010090,Hiroshi Tanaka,Broad_Tech,,LATAM,,LinkedIn,"['Keysight_University_Course', 'DesignCon_Booth_Visit', 'Keysight_University_Course', 'Oscilloscope_Selector_Tool', 'IMS_Badge_Scan', 'Keysight_Workshop_RF_Testing', 'Whitepaper_Download_5G_Test', 'Lab_Integration_Discussion', 'Technical_Demo', 'Customer']",1
L010091,Laura Ito,Broad_Tech,,,Automotive Ethernet,LinkedIn,"['Keysight_University_Course', 'Loaner_Unit_Evaluation', 'Whitepaper_Download_5G_Test', 'No_Conversion']",0
L010092,Priya Johnson,Sony_Tech,Telecom,APAC,5G Testbeds,Email Campaign,"['Lab_Integration_Discussion', 'Technical_Demo', 'Customer']",1
L010093,Maria Patel,,Semiconductor,,,Event,"['SQL', 'DesignCon_Booth_Visit', 'Oscilloscope_Selector_Tool', 'PathWave_Trial_Request', 'Technical_Demo', 'Whitepaper_Download_5G_Test', 'No_Conversion']",0
L010094,Sarah Anders,Bosch GmbH,Electronics,LATAM,PathWave Software,,"['PathWave_Trial_Request', 'Technical_Demo', 'No_Conversion']",0
L010095,,NXP Semiconductors GmbH,Semiconductor,,,Website,['Customer'],1
L010096,Michael Chen,Qualcomm,Telecom,Europe,,Sales Outreach,"['IMS_Badge_Scan', 'AutoSens_Tech_Talk', 'Opportunity', 'Oscilloscope_Selector_Tool', 'AutoSens_Tech_Talk', 'SQL', 'Lab_Integration_Discussion', 'Application_Engineer_Call', 'AutoSens_Tech_Talk', 'No_Conversion']",0
L010097,,,Automotive,Europe,,LinkedIn,"['Keysight_Workshop_RF_Testing', 'Customer']",1
L010098,Michael Johnson,Infineon GmbH,Electronics,,PathWave Software,Website,['Customer'],1
L010099,Laura Garcia,Samsung Electronics GmbH,Electronics,,Automotive Ethernet,Email Campaign,"['Keysight_Workshop_RF_Testing', 'AutoSens_Tech_Talk', 'Loaner_Unit_Evaluation', 'No_Conversion']",0
L010100,Laura Garcia,Samsung Electronics,,APAC,,,"['Opportunity', 'No_Conversion']",0
L010101,Ravi Martinez,Samsu_Tech,,Europe,,Webinar,"['Lab_Integration_Discussion', 'SQL', 'Whitepaper_Download_5G_Test', 'IMS_Badge_Scan', 'Keysight_Workshop_RF_Testing', 'PathWave_Trial_Request', 'Website_Product_Page', 'No_Conversion']",0
L010102,,Qualc_Tech,Electronics,North America,Oscilloscopes,,"['Opportunity', 'MQL', 'IMS_Badge_Scan', 'Opportunity', 'Whitepaper_Download_5G_Test', 'Loaner_Unit_Evaluation', 'Website_Product_Page', 'No_Conversion']",0
L010103,,,Automotive,,5G Testbeds,LinkedIn,"['Website_Product_Page', 'Technical_Demo', 'Lab_Integration_Discussion', 'IMS_Badge_Scan', 'Lab_Integration_Discussion', 'LinkedIn_Ad_Click', 'No_Conversion']",0
L010104,Priya Ito,Infineon GmbH,,Europe,Automotive Ethernet,Webinar,"['Whitepaper_Download_5G_Test', 'Customer']",1
L010105,Hiroshi Anders,Broadcom,Automotive,LATAM,,Website,"['DesignCon_Booth_Visit', 'Website_Product_Page', 'Whitepaper_Download_5G_Test', 'DesignCon_Booth_Visit', 'Customer']",1
L010106,Priya Patel,,Telecom,LATAM,,,['No_Conversion'],0
L010107,Sofia Khan,Qualc_Tech,Semiconductor,APAC,Oscilloscopes,Event,"['MQL', 'Whitepaper_Download_5G_Test', 'Whitepaper_Download_5G_Test', 'SQL', 'Customer']",1
L010108,Michael Johnson,Sony GmbH,,,,LinkedIn,"['Website_Product_Page', 'DesignCon_Booth_Visit', 'Website_Product_Page', 'MQL', 'Lab_Integration_Discussion', 'Technical_Demo', 'AutoSens_Tech_Talk', 'Oscilloscope_Selector_Tool', 'SQL', 'Customer']",1
L010109,Michael Ito,Bosch_Tech,Electronics,North America,,Email Campaign,"['Lab_Integration_Discussion', 'SQL', 'Customer']",1
L010110,Sarah Khan,Raytheon,Electronics,,,,"['Whitepaper_Download_5G_Test', 'Whitepaper_Download_5G_Test', 'Website_Product_Page', 'Opportunity', 'Opportunity', 'Opportunity', 'Loaner_Unit_Evaluation', 'Technical_Demo', 'Keysight_Workshop_RF_Testing', 'Customer']",1
L010111,Priya Tanaka,Sony GmbH,Semiconductor,APAC,,Email Campaign,"['Keysight_Workshop_RF_Testing', 'Keysight_University_Course', 'Lab_Integration_Discussion', 'IMS_Badge_Scan', 'LinkedIn_Ad_Click', 'Whitepaper_Download_5G_Test', 'Keysight_Workshop_RF_Testing', 'LinkedIn_Ad_Click', 'Oscilloscope_Selector_Tool', 'Keysight_University_Course', 'Customer']",1
L010112,Sarah Garcia,,,APAC,Oscilloscopes,,"['Keysight_Workshop_RF_Testing', 'LinkedIn_Ad_Click', 'AutoSens_Tech_Talk', 'Keysight_University_Course', 'SQL', 'LinkedIn_Ad_Click', 'SQL', 'Customer']",1
L010113,Maria Anders,Samsung Electronics GmbH,,LATAM,,Website,"['SQL', 'Oscilloscope_Selector_Tool', 'Website_Product_Page', 'Opportunity', 'Oscilloscope_Selector_Tool', 'Customer']",1
L010114,Laura Anders,Infin_Tech,Automotive,,Oscilloscopes,Website,"['Lab_Integration_Discussion', 'LinkedIn_Ad_Click', 'Loaner_Unit_Evaluation', 'Lab_Integration_Discussion', 'Whitepaper_Download_5G_Test', 'LinkedIn_Ad_Click', 'Technical_Demo', 'No_Conversion']",0
L010115,Sofia Tanaka,Infineon,Electronics,LATAM,5G Testbeds,Event,"['PathWave_Trial_Request', 'PathWave_Trial_Request', 'No_Conversion']",0
L010116,Hiroshi Williams,Bosch,,,,Sales Outreach,"['Oscilloscope_Selector_Tool', 'Keysight_Workshop_RF_Testing', 'Opportunity', 'Customer']",1
L010117,Sofia Khan,,Electronics,North America,PathWave Software,Website,"['DesignCon_Booth_Visit', 'Keysight_Workshop_RF_Testing', 'Website_Product_Page', 'AutoSens_Tech_Talk', 'No_Conversion']",0
L010118,Kenji Garcia,,Automotive,,,Webinar,"['Technical_Demo', 'SQL', 'Keysight_University_Course', 'IMS_Badge_Scan', 'SQL', 'MQL', 'Opportunity', 'MQL', 'Customer']",1
L010119,Maria Chen,Qualcomm GmbH,,North America,Automotive Ethernet,Sales Outreach,"['MQL', 'No_Conversion']",0
L010120,Michael Singh,Broad_Tech,Telecom,,Automotive Ethernet,LinkedIn,"['Application_Engineer_Call', 'Keysight_University_Course', 'LinkedIn_Ad_Click', 'SQL', 'MQL', 'Customer']",1
L010121,Sofia Johnson,Tesla Energy,,North America,Automotive Ethernet,Event,"['Whitepaper_Download_5G_Test', 'Application_Engineer_Call', 'Application_Engineer_Call', 'PathWave_Trial_Request', 'Website_Product_Page', 'Keysight_University_Course', 'DesignCon_Booth_Visit', 'Keysight_Workshop_RF_Testing', 'AutoSens_Tech_Talk', 'PathWave_Trial_Request', 'No_Conversion']",0
L010122,Chen Ito,,,,,,"['PathWave_Trial_Request', 'Website_Product_Page', 'PathWave_Trial_Request', 'AutoSens_Tech_Talk', 'SQL', 'Technical_Demo', 'IMS_Badge_Scan', 'No_Conversion']",0
L010123,Maria Patel,NXPSe_Tech,,North America,PathWave Software,Website,"['LinkedIn_Ad_Click', 'Website_Product_Page', 'Application_Engineer_Call', 'LinkedIn_Ad_Click', 'Customer']",1
L010124,Laura Tanaka,Meta Connectivity Labs GmbH,Automotive,APAC,5G Testbeds,Webinar,"['Loaner_Unit_Evaluation', 'LinkedIn_Ad_Click', 'PathWave_Trial_Request', 'IMS_Badge_Scan', 'Lab_Integration_Discussion', 'LinkedIn_Ad_Click', 'Keysight_Workshop_RF_Testing', 'Technical_Demo', 'No_Conversion']",0
L010125,Ravi Ito,Bosch,Electronics,LATAM,,Webinar,"['SQL', 'DesignCon_Booth_Visit', 'AutoSens_Tech_Talk', 'Customer']",1
L010126,Priya Martinez,Meta Connectivity Labs GmbH,Electronics,,PathWave Software,Email Campaign,"['Whitepaper_Download_5G_Test', 'Whitepaper_Download_5G_Test', 'Keysight_University_Course', 'Keysight_Workshop_RF_Testing', 'DesignCon_Booth_Visit', 'Customer']",1
